length,height,width,weight
10.3,4.1,1.5,293
13.3,5.3,1.9,619
9.2,3.7,1.4,239
7.8,3.1,1.2,209
9.7,3.8,1.5,245
11.6,4.6,1.6,414
10.5,4.2,1.7,193
10.5,4.2,1.6,431
14.8,5.9,2.2,953
12.3,4.9,1.8,362
10.8,4.3,1.6,434
8.9,3.6,1.3,225
7.4,2.9,1.1,197
10,3.9,1.5,272
7.9,3,1.2,145
9.1,3.6,1.3,179
12.9,5.2,1.9,671
10.5,4.2,1.6,308
9.7,3.8,1.4,280
12.3,4.8,1.8,583
11.4,4.5,1.8,518
13.3,5.3,2,678
10.1,4.1,1.5,275
10.6,4.2,1.6,340
11.7,4.8,1.7,652
14.5,5.8,2.3,803
8.7,3.5,1.2,248
10.1,4.1,1.6,284
12.5,5.1,1.9,650
13.2,5.4,2,674
7.8,3.2,1.1,134
10.8,4.4,1.6,305
14,5.6,2.1,459
13.5,5.4,2,460
12.9,5.1,1.9,572
10.6,4.3,1.6,268
12.4,5,1.9,491
15.6,6.2,2.3,1064
12.9,5,1.9,480
12.3,5,1.9,467
10.5,4.2,1.4,416
11.8,4.7,1.8,536
10.1,4,1.6,306
9,3.6,1.4,278
13.2,5.3,2,584
10.3,4.1,1.5,365
10.7,4.4,1.7,441
9.1,3.6,1.3,168
12.6,5.1,1.9,588
9.1,3.7,1.4,287
11.3,4.5,1.7,461
10.3,4,1.4,271
9.8,3.9,1.4,281
11.7,4.7,1.8,512
10,4,1.6,324
13.5,5.4,2.1,606
12.2,4.9,1.9,634
10.7,4.3,1.6,382
11.5,4.6,1.7,310
14.8,6,2.3,771
12,4.9,1.8,569
10.7,4.4,1.5,282
11.7,4.7,1.8,222
11.2,4.5,1.7,558
13.7,5.5,2.1,789
12.3,4.9,1.9,502
11.8,4.7,1.8,613
12,4.8,1.8,337
12.6,5,1.9,653
10.4,4.1,1.6,445
10.1,4.1,1.5,274
11.3,4.6,1.8,424
15.3,6.1,2.3,961
10.7,4.3,1.6,347
9.9,3.9,1.6,332
11.6,4.7,1.8,459
10.2,4,1.6,338
12.6,5,1.9,455
16.6,6.6,2.5,1165
12.4,4.9,1.9,405
13.8,5.5,2.1,749
11.1,4.4,1.6,360
16.1,6.4,2.4,934
15.3,6.2,2.4,1023
9.7,3.8,1.4,274
15.4,6.2,2.3,902
10.1,4.1,1.5,362
12.6,5,1.9,427
12.2,4.9,1.9,657
13,5.1,2,546
9.1,3.6,1.4,192
11.8,4.7,1.8,636
9.6,3.9,1.4,213
14.4,5.7,2.1,622
13,5.2,1.9,573
10.8,4.3,1.7,329
12.4,4.9,1.8,527
13.7,5.6,1.9,518
16,6.5,2.4,1287
13.1,5.2,2,689
11.3,4.5,1.7,347
16.7,6.7,2.5,1352
10.1,4.1,1.6,242
13,5.1,1.9,534
8.4,3.3,1.1,223
10.2,4.2,1.6,355
8.8,3.6,1.3,156
9.4,3.8,1.4,189
11.6,4.6,1.8,569
10.1,4.1,1.6,403
12.4,5,1.8,431
12.9,5.1,1.9,723
12.2,4.8,1.8,475
13.8,5.6,2,739
8.5,3.3,1.3,174
12.7,5.1,1.9,651
11.9,4.7,1.8,562
9.7,3.9,1.5,256
9.1,3.6,1.4,242
14.9,6,2.3,1132
12.3,4.9,1.9,600
10.3,4.2,1.7,370
11.5,4.6,1.8,424
8.9,3.6,1.4,251
10.7,4.3,1.6,434
12.9,5.2,2,827
9.9,4.1,1.5,186
15.9,6.4,2.5,1151
11.5,4.5,1.7,472
12.8,5.1,1.9,675
13.8,5.5,2,688
12.7,5.1,1.9,592
10.9,4.4,1.6,379
11.9,4.7,1.7,427
11.8,4.7,1.8,532
16,6.3,2.5,1045
10.3,4.2,1.6,254
9.6,3.9,1.4,335
9.2,3.7,1.3,288
11.9,4.7,1.8,498
13.8,5.5,2.1,690
14.7,5.9,2.3,1133
11.5,4.6,1.7,480
18.3,7.3,2.8,1613
12.6,5,1.9,558
13.1,5.2,2,612
11.4,4.6,1.7,596
12.9,5.1,1.9,345
11.5,4.6,1.7,432
11.6,4.6,1.8,376
10.5,4.2,1.5,358
9.3,3.7,1.3,291
12.7,5.1,1.9,844
11.2,4.5,1.7,330
10.9,4.3,1.6,368
9.4,3.7,1.4,179
12.4,5,1.9,640
12.1,4.9,1.9,292
8.1,3.3,1.2,228
10.2,4.1,1.4,319
11.7,4.7,1.7,421
9.3,3.7,1.4,265
13.8,5.4,2.1,673
12.4,5,1.8,515
13.3,5.3,2,922
9.5,3.8,1.4,231
12.3,5,1.9,607
9.3,3.7,1.3,333
13.5,5.4,2,662
13.3,5.3,2.1,498
12.5,5,1.8,605
12.6,5.1,1.9,654
9.2,3.7,1.3,338
12.1,4.8,1.8,482
10.8,4.3,1.7,420
8,3.2,1.1,87
9.2,3.7,1.4,139
9.4,3.7,1.4,188
17.4,7,2.6,1491
11.3,4.5,1.7,360
12.9,5.2,2,480
13.7,5.4,2.1,735
9,3.6,1.3,265
10.1,4,1.5,236
9.1,3.6,1.5,249
15,6.1,2.2,783
17.2,6.8,2.6,1470
9.1,3.6,1.4,242
12.6,5.1,2,502
12.8,5.1,1.8,410
11.1,4.4,1.8,461
9.8,3.9,1.4,390
7.4,2.9,1,96
7.2,2.9,1.1,167
9.4,3.7,1.4,258
12.5,5,1.9,663
14.5,5.8,2.2,839
11.2,4.5,1.6,450
12.3,5,1.8,599
5.3,2.1,0.9,68
12.8,5.1,1.9,559
11.5,4.7,1.7,424
13.2,5.3,2,656
10.4,4.2,1.6,423
10,4.1,1.4,334
15.2,6,2.2,897
11.7,4.6,1.8,575
11,4.4,1.7,382
12.9,5.1,2.1,481
10.2,4,1.4,293
9,3.6,1.4,240
11.2,4.5,1.7,413
12.2,4.9,1.9,426
12.4,4.9,1.9,537
11.6,4.7,1.7,456
13.6,5.5,2,695
13.5,5.3,2,633
8.6,3.4,1.2,230
13.5,5.4,2.1,667
13.2,5.2,1.9,726
9.8,4,1.5,254
14.9,5.9,2.2,1047
11.5,4.5,1.6,381
9.4,3.8,1.3,182
9.7,3.9,1.4,347
14.1,5.7,2.1,655
12,4.7,1.8,531
10.1,4.1,1.5,431
12.4,5,1.9,584
12.5,5,2,614
8.8,3.4,1.3,279
10.9,4.3,1.7,463
13.6,5.4,2.1,654
13.7,5.5,2.1,636
8,3.2,1.2,143
12.3,4.9,1.8,401
13.1,5.3,2,660
11.7,4.8,1.8,568
12.1,4.9,1.9,456
12.9,5,1.9,547
10.4,4.2,1.5,238
9.9,3.9,1.5,236
10.4,4.1,1.5,335
10.1,4.1,1.5,390
10.3,4.2,1.6,373
11.4,4.5,1.8,413
14.2,5.6,2.1,786
10.7,4.2,1.6,353
9.3,3.8,1.4,222
13.9,5.5,2.1,785
8.7,3.6,1.3,193
10,4,1.6,264
14.2,5.8,2.3,861
13.3,5.3,1.9,638
12.7,5.1,1.9,470
16.5,6.6,2.5,1022
9.8,3.9,1.5,253
14.8,5.9,2.2,823
12.5,5,1.9,579
8.7,3.4,1.3,188
10.3,4.1,1.5,331
13.8,5.5,2.1,790
12.2,4.9,1.8,314
12.1,4.8,1.9,648
10,4.1,1.5,309
13.4,5.2,1.9,636
15,6.1,2.2,892
9.9,4.1,1.5,296
10.8,4.3,1.6,354
9.8,3.9,1.5,238
13.2,5.3,2,545
13.2,5.3,2,675
11.4,4.5,1.8,395
11.8,4.7,1.8,245
13.5,5.3,2,628
9.9,4,1.4,368
11.2,4.6,1.7,372
13.7,5.4,2.1,606
12.7,5.1,1.9,580
13.3,5.3,2,521
13.5,5.4,2.1,772
13.5,5.3,2.1,622
12.4,5,1.9,762
11,4.4,1.7,473
12.6,5,1.9,640
10.8,4.3,1.6,385
12.9,5.1,2,568
11.1,4.4,1.7,394
9.3,3.7,1.4,284
10.4,4.1,1.6,282
15,6,2.3,763
11.8,4.8,1.8,486
8.2,3.2,1.2,196
13.6,5.4,2.1,739
14.9,5.9,2.3,738
12.9,5.1,1.9,591
6.2,2.5,0.9,133
13.4,5.4,2,796
8.1,3.2,1.3,215
10.3,4.2,1.5,210
12.6,5.1,1.8,449
11.3,4.5,1.7,396
12.6,5.1,1.9,634
14.4,5.9,2.1,805
11.8,4.7,1.8,483
14.4,5.7,2.2,717
11.6,4.6,1.8,447
11.6,4.6,1.8,572
8.6,3.4,1.2,234
13.2,5.2,2,541
11.7,4.7,1.7,364
12.1,4.8,1.8,470
9.4,3.7,1.3,254
15.3,6,2.3,777
10,4,1.5,275
9.3,3.7,1.4,201
9.8,3.9,1.5,355
12.3,4.9,1.9,536
12.9,5.1,1.9,590
11,4.4,1.6,144
12.5,5.1,1.9,634
8.7,3.5,1.4,190
12.1,4.9,1.7,594
9.5,3.9,1.3,232
13,5.2,1.9,580
11.1,4.4,1.7,334
10.3,4.2,1.5,378
9.3,3.7,1.4,294
10.7,4.3,1.6,357
12.6,5.1,1.9,410
10.6,4.2,1.6,392
11.8,4.8,1.8,575
13.5,5.4,2,799
13.4,5.4,2,659
13.2,5.3,2,749
15.8,6.4,2.3,1142
11.7,4.7,1.8,445
10.7,4.3,1.6,333
13.4,5.4,2,654
11.1,4.4,1.6,373
9.2,3.7,1.3,214
13.5,5.5,2,716
12.4,5,2,545
10.9,4.4,1.6,320
10.8,4.3,1.7,415
13.1,5.2,2,800
8.8,3.6,1.3,229
15.5,6.2,2.3,1041
8.7,3.5,1.3,187
11.5,4.6,1.8,537
12.7,5,1.9,562
11,4.3,1.7,401
13,5.2,2,495
13,5.2,1.9,546
13.6,5.4,2.1,762
11.3,4.5,1.8,496
11.6,4.7,1.8,356
13.7,5.4,2,757
11.5,4.6,1.8,429
13.2,5.3,2,601
11.6,4.7,1.7,552
12.4,5,1.9,597
13.5,5.4,2,661
12,4.9,1.8,523
13.2,5.3,1.9,655
14.5,5.9,2,763
12.7,5,1.9,576
13.6,5.3,2.1,790
10.1,4,1.5,353
9.2,3.7,1.4,181
6.8,2.8,1,129
10.7,4.3,1.7,308
13,5.2,1.9,468
11.5,4.6,1.6,424
10.7,4.2,1.6,238
11.9,4.8,1.8,606
9.3,3.7,1.6,347
11.1,4.4,1.7,461
9.3,3.7,1.4,261
10.3,4.1,1.5,361
10.5,4.3,1.5,405
14.9,6,2.3,1013
11.2,4.5,1.7,489
13.3,5.4,2,734
12.6,5,2,570
14.7,5.8,2.2,848
14.4,5.7,2.1,689
11.9,4.6,1.9,406
10.2,4,1.5,223
9.3,3.7,1.4,380
13.9,5.5,2.1,750
11,4.4,1.7,388
13.8,5.4,2.1,695
13.8,5.6,2,826
13.5,5.3,2.1,580
10,4,1.4,390
12.7,5.1,1.8,646
11.7,4.7,1.7,438
10.5,4.1,1.6,322
10.2,4,1.5,324
14.3,5.7,2.1,761
13.1,5.2,2,625
9.9,4.1,1.5,311
12.6,5,1.8,430
11.9,4.8,1.7,502
12.5,4.9,1.9,471
13.5,5.4,2,694
11,4.3,1.7,486
10.4,4.1,1.5,262
12,4.8,1.8,583
12.8,5.2,1.9,666
13.4,5.4,1.9,652
10.9,4.3,1.7,480
13.8,5.5,2.1,816
9.7,3.8,1.4,232
16.6,6.5,2.5,1361
13.1,5.2,2,596
12.3,4.9,1.9,518
9.3,3.7,1.3,282
11.9,4.7,1.8,437
10,3.9,1.5,349
11.5,4.6,1.7,488
12.2,4.9,1.7,519
12.5,5,1.9,502
11.2,4.5,1.7,435
14.3,5.7,2.2,877
12.2,4.9,1.8,547
14.7,6,2.2,1005
14,5.7,2.1,674
13.3,5.4,2,661
12.6,5,1.9,604
8.5,3.4,1.2,147
11.9,4.8,1.9,535
13,5.2,1.9,685
12,4.8,1.8,565
9.8,3.9,1.5,248
14.8,5.9,2.2,922
14.3,5.7,2.3,876
10.7,4.2,1.5,249
12.1,4.9,1.8,704
10.9,4.3,1.7,468
11.1,4.4,1.7,393
14.9,6,2.3,864
10.9,4.3,1.7,441
9.7,3.9,1.5,361
12.7,5.1,1.9,496
9.9,4,1.6,396
13,5.1,2,709
8,3.3,1.2,227
8.4,3.4,1.3,182
11.6,4.6,1.7,333
11.9,4.7,1.8,708
8.5,3.5,1.3,172
13.5,5.4,2.1,470
16.8,6.7,2.5,991
10.9,4.4,1.6,468
12.2,4.9,1.8,392
11.5,4.6,1.8,389
12.8,5.1,1.9,620
15.4,6.2,2.3,970
13.4,5.4,2,691
9.6,3.7,1.4,393
10.9,4.4,1.7,315
11.2,4.5,1.7,350
10.7,4.3,1.7,463
13.3,5.3,2,667
15.7,6.2,2.3,746
10.3,4.1,1.6,296
12.8,5.2,2,532
11.8,4.7,1.7,392
10.9,4.3,1.5,343
12.2,4.8,1.8,509
15.5,6.2,2.3,933
10.6,4.1,1.5,311
11.8,4.7,1.9,393
12.5,5,1.9,480
15.2,6.1,2.3,936
12,4.8,1.9,612
10.2,4.2,1.5,194
12.9,5,1.9,503
15.2,6.1,2.2,783
8.7,3.5,1.3,218
10.8,4.5,1.6,371
9.9,3.9,1.5,333
11.9,4.8,1.8,481
14.6,5.8,2.1,843
10.9,4.3,1.6,269
14.7,5.8,2.3,914
13.2,5.3,1.9,631
12.1,4.8,1.9,405
13.4,5.4,2,740
14.5,5.8,2.1,701
11.3,4.5,1.7,395
13.9,5.5,2.1,575
13.5,5.5,2,863
10.5,4.2,1.5,267
12,4.8,1.8,334
10.2,4.1,1.5,343
10.4,4.2,1.6,483
11.7,4.6,1.7,493
9.9,3.9,1.5,237
10.2,4.1,1.6,343
11.9,4.8,1.8,389
12.7,5.1,1.9,627
15.5,6.2,2.3,924
12.7,5,1.9,523
7.7,3.1,1.2,227
11.9,4.8,1.8,477
12.4,5,1.9,446
13.9,5.6,2,699
13,5.2,2,714
12.2,4.9,1.8,547
12.1,4.8,1.9,480
11.7,4.7,1.8,504
7.6,3.1,1.1,104
12.1,4.9,1.8,615
11.5,4.6,1.7,372
12.1,4.9,1.9,510
14.5,5.8,2.2,713
13.4,5.4,1.9,467
12.7,5.1,1.9,557
13,5.2,1.9,765
15.1,6.1,2.3,921
12.4,4.9,1.9,423
11.4,4.6,1.7,620
12.5,5,1.8,308
13.4,5.4,2,755
11.9,4.8,1.8,475
8.7,3.4,1.3,166
13.2,5.3,2,585
11.5,4.6,1.7,409
11.2,4.5,1.7,340
11.7,4.7,1.8,387
9.9,3.9,1.5,385
12.4,5,1.8,631
10.1,4.1,1.5,352
6.1,2.4,0.9,75
11.7,4.6,1.8,443
10.8,4.3,1.7,400
14.7,5.8,2.2,659
11.8,4.7,1.8,605
14,5.6,2.1,651
8,3.2,1.2,166
14.3,5.8,2.1,744
10,4,1.5,331
10.3,4.1,1.5,277
11.5,4.6,1.7,473
9,3.7,1.3,211
9.7,3.9,1.5,372
10.6,4.3,1.6,360
11.5,4.6,1.8,358
16.9,6.8,2.6,1088
13.9,5.5,2.1,691
11.9,4.7,1.8,498
9.2,3.6,1.4,234
13.2,5.3,2,644
10.8,4.3,1.5,150
10.5,4.2,1.6,289
9.6,3.8,1.4,287
11.9,4.8,1.8,547
12.4,5,1.9,551
13.5,5.3,2,524
12,4.8,1.8,570
9.6,3.8,1.5,244
14.9,6,2.2,1023
9.1,3.7,1.4,250
12.2,4.8,1.9,469
14.2,5.7,2.1,670
12.6,5,1.9,519
10.9,4.4,1.7,354
16,6.3,2.4,1039
10.6,4.3,1.6,357
13.3,5.3,1.9,672
12.5,5,1.9,594
8.9,3.5,1.2,160
10.8,4.3,1.7,358
14.7,6,2.3,966
13.6,5.4,2,778
11.7,4.7,1.8,575
8.7,3.4,1.3,187
13.6,5.5,2,711
12.6,5.1,1.9,541
11.5,4.5,1.7,368
9.1,3.6,1.4,148
13.4,5.4,1.9,669
12,4.8,1.8,607
10.2,4,1.6,305
12.4,5,2,648
13.6,5.4,2,571
12.7,5.1,1.9,476
12.4,5,1.8,541
16.1,6.5,2.3,983
11.9,4.8,1.8,458
7.6,3,1,81
12.7,5.1,1.9,682
9.1,3.6,1.4,247
12.5,5,1.9,454
12.9,5.1,1.9,760
10.3,4.1,1.6,339
14.3,5.9,2.2,856
12.8,5.1,1.9,697
13.1,5.3,2,693
11.1,4.4,1.6,308
9.2,3.6,1.5,241
9.6,3.8,1.4,333
9.2,3.7,1.4,230
13.7,5.6,2.1,901
15.5,6.2,2.4,1105
12.7,5.1,1.9,574
12.7,5.1,1.9,601
10.1,4.1,1.5,259
18,7.2,2.8,1711
14.2,5.7,2.2,820
12.8,5.1,1.9,578
13.9,5.6,2.1,602
15.3,6.2,2.3,1172
13.6,5.4,2,835
8.6,3.4,1.3,221
13.3,5.3,2,598
11.9,4.7,1.7,484
12.4,4.9,1.9,522
12.6,5.1,2,642
11.1,4.4,1.7,383
11.6,4.7,1.7,539
12,4.9,1.8,538
12.1,4.9,1.8,463
14.6,5.8,2.3,1103
15.3,6,2.3,874
13.8,5.6,2.1,785
9.7,3.9,1.5,229
13.8,5.6,2.1,690
11.5,4.6,1.8,403
10.7,4.4,1.6,445
15.1,6.1,2.3,1210
12.3,4.8,1.8,459
11.9,4.8,1.7,533
9.5,3.8,1.5,272
10.6,4.2,1.6,394
16.7,6.6,2.5,1374
10.2,4.1,1.5,358
12.7,5.1,1.8,569
12.5,5,1.8,452
12.6,5,1.8,498
11.8,4.7,1.8,433
9.7,3.9,1.4,245
9.4,3.8,1.6,249
10,4,1.5,317
11.6,4.7,1.7,472
9.7,3.8,1.4,118
14.1,5.6,2.1,884
11.7,4.7,1.8,536
15.1,6,2.1,768
12.3,4.9,1.9,531
12.3,4.9,1.9,475
11.8,4.7,1.9,542
11.8,4.8,1.9,500
6.5,2.6,1,120
12.1,4.9,1.8,476
11.9,4.8,1.7,461
15.8,6.4,2.4,1028
9.8,3.9,1.4,259
9.3,3.7,1.5,388
13.2,5.3,2,548
9.6,3.9,1.5,253
10.8,4.3,1.6,399
11.4,4.6,1.7,365
13.7,5.5,2,554
16.2,6.4,2.4,1144
13.9,5.6,2.1,830
12.2,4.8,1.9,389
13.5,5.4,2.1,786
13.4,5.4,2,595
10.2,4.1,1.5,395
12.9,5.2,2,538
10.4,4.2,1.6,367
13.4,5.3,2,549
16.2,6.6,2.4,1220
10.3,4.1,1.6,240
12.1,4.7,1.8,475
16.7,6.6,2.5,1143
10.8,4.3,1.6,345
14,5.5,2.1,769
9.4,3.7,1.4,278
10.8,4.3,1.6,441
11.3,4.5,1.6,382
13.3,5.3,2,567
12.3,4.9,1.8,506
13.4,5.4,2,507
12.4,5,1.9,709
14.1,5.6,2.1,674
8.4,3.2,1.4,209
11.6,4.5,1.8,374
12.4,4.9,1.9,442
12.4,4.9,1.9,469
12.9,5.2,1.9,690
13.7,5.5,2,516
11.4,4.6,1.7,505
9.9,3.9,1.5,276
14,5.6,2,594
14.3,5.8,2.2,914
9.9,3.9,1.5,173
11,4.4,1.6,363
15.1,6,2.2,840
7.9,3.1,1.3,162
20.2,8,3,2041
10.1,4.1,1.6,454
12.6,5.1,1.9,544
10.7,4.3,1.6,234
16.4,6.5,2.4,1374
12.6,5,1.9,581
10.9,4.4,1.5,306
11.7,4.7,1.8,334
12.3,4.9,1.9,553
11.3,4.4,1.7,248
9.6,3.9,1.4,196
14.4,5.8,2.2,893
14.5,5.8,2.1,833
10.6,4.2,1.5,313
9.6,3.8,1.4,212
12.6,5,1.9,578
15,6,2.3,1002
9.4,3.8,1.3,268
13,5.3,2,595
12.7,5.2,2,641
12.8,5.1,1.9,645
16.5,6.5,2.5,1117
11.1,4.5,1.6,363
10.6,4.2,1.5,294
11,4.4,1.6,386
15.5,6.1,2.3,1094
15.8,6.4,2.4,830
12.3,4.8,1.9,540
11.9,4.7,1.8,558
10.6,4.3,1.6,347
8.2,3.3,1.3,237
12.8,5.2,1.9,689
12.9,5.2,1.9,700
11.3,4.5,1.7,370
12.2,4.9,1.8,511
13.3,5.3,2.1,769
15.4,6.1,2.3,897
13.2,5.3,2,718
10.6,4.2,1.5,403
9.3,3.7,1.5,370
14.8,5.9,2.2,956
12.7,5.1,1.8,553
13.9,5.5,2.1,717
9.2,3.7,1.3,211
14.6,5.9,2.2,767
15,6,2.3,861
13.2,5.3,2.1,728
12.4,4.9,1.9,397
15.5,6.2,2.3,1179
11.3,4.5,1.7,388
9.4,3.7,1.4,344
14.4,5.7,2.2,878
14.2,5.7,2.1,828
11.9,4.8,1.8,543
16.8,6.8,2.6,1189
11.8,4.7,1.8,450
14.7,5.8,2.2,934
13.8,5.5,2.2,744
11,4.4,1.7,266
12.6,5,2,694
12.8,5.1,1.9,567
9.5,3.8,1.4,231
10.2,4.1,1.5,368
12.6,4.9,1.9,584
12.6,4.9,1.9,660
11.4,4.6,1.7,454
14.3,5.8,2.1,870
16.1,6.4,2.3,990
11.3,4.5,1.7,361
11,4.5,1.6,272
13.3,5.4,2,692
15.1,6.1,2.2,962
13.6,5.4,2,731
10.7,4.3,1.6,372
11.3,4.5,1.7,316
13.5,5.4,1.9,678
9.8,3.9,1.5,398
13.1,5.2,1.9,500
12.4,5,1.9,783
15.4,6.2,2.3,1030
13.5,5.3,1.9,634
14.9,6,2.2,934
12,4.8,1.8,349
11.9,4.8,1.8,387
10.3,4.1,1.5,254
11.8,4.8,1.7,505
10,4,1.6,292
15.1,6.1,2.3,795
9.6,3.8,1.5,235
11.9,4.7,1.8,405
10.5,4.2,1.5,435
12.8,5.1,2,673
13.4,5.5,1.9,572
8.3,3.3,1.2,169
12,4.8,1.8,460
11.2,4.5,1.7,526
